IaC LLM Evaluation - Concise Summary,,,,,
"Gộp từ 3 tab: Paper Summary, Metric Formulas, Your Eval Pipeline",,,,,
1. Research & benchmarks,,,,,
Paper,Dataset / Benchmark,IaC format,Evaluates,Pipeline / metrics,Key result / source
IaC-Eval: A Code Generation Benchmark for Cloud Infrastructure-as-Code Programs,458 human-curated AWS scenarios,Terraform HCL,"Intent correctness: resources, dependencies, attributes","Prompt -> LLM -> terraform plan -> dependency graph -> OPA/Rego intent check; pass@k, intent pass rate",GPT-4 pass@1 about 19.36%. Source: https://openreview.net/forum?id=7TCK0aBL1C
Using a Feedback Loop for LLM-based IaC Generation,33 CloudFormation tasks x 5 generations = 165 templates,AWS CloudFormation JSON,Lint/schema/best-practice errors,Prompt -> template -> cfn-lint -> feed errors/warnings back -> repeat up to 10 rounds,"Errors drop strongly in early rounds, then plateau. Source: https://arxiv.org/abs/2411.19043"
Deployability-Centric IaC Generation / IaCGen,"DPIaC-Eval: 153 real-world tasks, 58 AWS services",AWS CloudFormation,"Deployability, intent alignment, security compliance","Format check -> syntax check -> live AWS deployment -> feedback/retry/cleanup; passItr@n, compliance",First attempt 20.8-30.2%; after 10 iterations 54.6-91.6%. Source: https://conf.researchr.org/details/fse-2026/fse-2026-research-papers/43/Deployability-Centric-Infrastructure-as-Code-Generation-Fail-Learn-Refine-and-Suc
Multi-IaC-Eval,Multi-IaC-Bench: initial IaC + NL modification + updated template,"CloudFormation, Terraform, CDK",IaC mutation across multiple formats,Initial IaC + edit request -> updated IaC -> syntax validation -> semantic alignment,"Syntax can exceed 95%, semantic alignment remains harder. Source: https://arxiv.org/abs/2509.05303"
MACOG: Multi-Agent Code-Orchestrated Generation for Reliable IaC,Uses IaC-Eval for multi-agent evaluation,Terraform,Multi-agent vs single/RAG reliability,"Architect/Provider Harmonizer/Engineer/Reviewer/Security/DevOps agents -> Terraform plan + OPA; IaC-Eval score, BLEU, CodeBERTScore",Multi-agent improves IaC-Eval; constrained decoding and deploy feedback are important. Source: https://arxiv.org/abs/2510.03902
Evaluating Security Policy Compliance in IaC Generated by LLMs,458 prompts from IaC-Eval,Terraform / OpenTofu,Security compliance of generated IaC,"LLM -> tofu init/validate -> retry -> Checkov scan; validation pass, object recall/precision, failed policies","Generated scripts still show security violations, often around 5-15 per script. Source: https://merl.com/publications/TR2026-036"
GenSIaC: Security-Aware IaC Generation,Fine-tuning dataset and security weakness tasks,IaC security,Recognize and prevent security misconfiguration,"Base LLM eval -> GenSIaC fine-tuning -> recognition/prevention evaluation; precision, recall, F1","Fine-tuning improves F1, e.g. 0.303 to 0.858. Source: https://arxiv.org/abs/2511.12385"
,,,,,
2. Metrics to report,,,,,
Metric,Measures,Formula,Use when,Preferred check/tool,Notes
