Resource,Prompt,Rego intent,Difficulty,Reference output,Intent
"aws_route53_vpc_association_authorization, aws_route53_zone, aws_route53_zone_association, aws_vpc, aws_vpc",Configure a valid Route 53 zone association resource,"package terraform.validation

default is_configuration_valid = false

default is_valid_r53_zone = false

default is_valid_vpc = false

default is_valid_zone_association = false

default is_valid_vpc_association = false

# Validate aws_route53_zone resource
is_valid_r53_zone {
    some i
    resource := input.configuration.root_module.resources[i]
    resource.type == ""aws_route53_zone""
    resource.expressions.vpc[0].vpc_id.references[0]
    resource.expressions.name
}

is_valid_vpc {
    some i, j
    resource := input.configuration.root_module.resources[i]
    resource.type == ""aws_vpc""
    resource.expressions.cidr_block
    resource.expressions.enable_dns_hostnames.constant_value == true
    resource.expressions.enable_dns_support.constant_value == true
    
    resource2 := input.configuration.root_module.resources[j]
    resource2.type == ""aws_vpc""
    resource2.expressions.cidr_block
    resource2.expressions.enable_dns_hostnames.constant_value == true
    resource2.expressions.enable_dns_support.constant_value == true
}

is_valid_zone_association {
    some i
    resource := input.configuration.root_module.resources[i]
    resource.type == ""aws_route53_zone_association""
    resource.expressions.vpc_id.references[0]
    resource.expressions.zone_id.references[0]
}

is_valid_vpc_association {
     some i
     resource := input.configuration.root_module.resources[i]
    resource.type == ""aws_route53_vpc_association_authorization""
    resource.expressions.vpc_id.references[0]
    resource.expressions.zone_id.references[0]
}

# Combine all checks into a final rule
is_configuration_valid {
    is_valid_r53_zone
    is_valid_vpc
    is_valid_zone_association
    is_valid_vpc_association
}",3,"provider ""aws"" {
    region = ""us-east-1""
}

resource ""aws_vpc"" ""example"" {
  cidr_block           = ""10.6.0.0/16""
  enable_dns_hostnames = true
  enable_dns_support   = true
}

resource ""aws_route53_zone"" ""example"" {
  name = ""example.com""

  vpc {
    vpc_id = aws_vpc.example.id
  }
}

resource ""aws_vpc"" ""alternate"" {
  cidr_block           = ""10.7.0.0/16""
  enable_dns_hostnames = true
  enable_dns_support   = true
}

resource ""aws_route53_vpc_association_authorization"" ""example"" {
  vpc_id  = aws_vpc.alternate.id
  zone_id = aws_route53_zone.example.id
}

resource ""aws_route53_zone_association"" ""example"" {
  vpc_id  = aws_route53_vpc_association_authorization.example.vpc_id
  zone_id = aws_route53_vpc_association_authorization.example.zone_id
}","Has multiple ""aws_vpc"" resource
    with a specified ""cidr_block""
    with ""enable_dns_hostnames"" equal to ""true""
    with ""enable_dns_support"" equal to ""true""

Has one ""aws_route53_zone"" resource
    with ""name""
    with a ""vpc"" block that contains ""vpc_id"" that references the ""aws_vpc"" resource

Has one ""aws_route53_vpc_association_authorization"" resource
    with ""vpc_id"" referencing the ""aws_vpc"" resource 
    with ""zone_id"" referencing the ""aws_route53_zone"" resource

Has one ""aws_route53_zone_association"" resource
    with ""vpc_id"" referencing the ""aws_route53_vpc_association_authorization"" resource 
    with ""zone_id"" referencing the ""aws_route53_vpc_association_authorization"" resource
"
"aws_codebuild_project, aws_iam_role",create a Basic AWS codebuild project resource with example iam role and an example GITHUB source,"package terraform.validation

import future.keywords.in

default has_valid_resources = false

# Rule for aws_iam_role resource
has_valid_iam_role(resources) { 
        some resource in resources 
    resource.type == ""aws_iam_role"" 
    contains(resource.change.after.assume_role_policy,""codebuild.amazonaws.com"") 
} 

has_valid_codebuild {
        some i
    resource := input.planned_values.root_module.resources[i]
    resource.type == ""aws_codebuild_project""
        resource.values.artifacts
    resource.values.environment
    resource.values.name
    resource.values.source[_].type == ""GITHUB""
    role := input.configuration.root_module.resources[i]
    role.expressions.service_role
}

has_valid_resources {
        has_valid_iam_role(input.resource_changes)
    has_valid_codebuild
}
",4,"terraform {
  required_providers {
    aws = {
      source  = ""hashicorp/aws""
      version = ""~> 5.75""
    }
  }

  required_version = ""~> 1.9.8""
}

provider ""aws"" {
  region  = ""us-east-1""
  profile = ""admin-1""

  assume_role {
    role_arn = ""arn:aws:iam::590184057477:role/yicun-iac""
  }
}

data ""aws_iam_policy_document"" ""assume_role"" {
  statement {
    effect = ""Allow""

    principals {
      type        = ""Service""
      identifiers = [""codebuild.amazonaws.com""]
    }

    actions = [""sts:AssumeRole""]
  }
}

resource ""aws_iam_role"" ""test_role"" {
  name               = ""test_role""
  assume_role_policy = data.aws_iam_policy_document.assume_role.json
}


resource ""aws_codebuild_project"" ""example"" {
  name          = ""test-project""
  service_role  = aws_iam_role.test_role.arn

  artifacts {
    type = ""NO_ARTIFACTS""
  }

  environment {
    compute_type = ""BUILD_GENERAL1_SMALL""
    image        = ""aws/codebuild/standard:7.0-24.10.29""
    type         = ""LINUX_CONTAINER""
  }

  source {
    type            = ""GITHUB""
    location        = ""github.com/source-location""
    git_clone_depth = 1
  }
}","Has one ""aws_iam_role"" resource and one ""aws_codebuild_project"" resource with the ""type"" argument within the ""source"" block equal to ""GITHUB"""
"aws_codebuild_project, aws_iam_role, aws_s3_bucket","create a AWS codebuild project resource with example iam role, an example GITHUB source, environment variables, and a cache","package terraform.validation

import future.keywords.in

default has_valid_resources = false

# Rule for aws_iam_role resource
has_valid_iam_role(resources) { 
        some resource in resources 
    resource.type == ""aws_iam_role"" 
    contains(resource.change.after.assume_role_policy,""codebuild.amazonaws.com"") 
} 

has_valid_bucket {
        some i
    resource := input.planned_values.root_module.resources[i]
    resource.type == ""aws_s3_bucket""
    
}

has_valid_codebuild {
        some i
    resource := input.planned_values.root_module.resources[i]
    resource.type == ""aws_codebuild_project""
        resource.values.artifacts
    resource.values.environment[_].environment_variable
    resource.values.cache
    resource.values.name
    resource.values.source[_].type == ""GITHUB""
    role := input.configuration.root_module.resources[i]
    role.expressions.service_role
}

has_valid_resources {
        has_valid_iam_role(input.resource_changes)
    has_valid_codebuild
}",5,"terraform {
  required_providers {
    aws = {
      source  = ""hashicorp/aws""
      version = ""~> 5.75""
    }
  }

  required_version = ""~> 1.9.8""
}

provider ""aws"" {
  region  = ""us-east-1""
  profile = ""admin-1""

  assume_role {
    role_arn = ""arn:aws:iam::590184057477:role/yicun-iac""
  }
}


resource ""aws_iam_role"" ""example"" {
  name = ""example""

  assume_role_policy = jsonencode({
    Version = ""2012-10-17""
    Statement = [
      {
        Action = ""sts:AssumeRole""
        Effect = ""Allow""
        Sid    = """"
        Principal = {
          Service = ""codebuild.amazonaws.com""
        }
      },
    ]
  })
}

resource ""aws_codebuild_project"" ""example"" {
  name          = ""Row2CodeBuild""
  description   = ""Row2CodeBuild""
  build_timeout = 5
  service_role  = aws_iam_role.example.arn

  artifacts {
    type = ""NO_ARTIFACTS""
  }

  cache {
    type  = ""LOCAL""
    modes = [""LOCAL_DOCKER_LAYER_CACHE"", ""LOCAL_SOURCE_CACHE""]
  }

  environment {
    compute_type                = ""BUILD_GENERAL1_SMALL""
    image                       = ""aws/codebuild/standard:7.0-24.10.29""
    type                        = ""LINUX_CONTAINER""
    image_pull_credentials_type = ""CODEBUILD""

    environment_variable {
      name  = ""SOME_KEY1""
      value = ""SOME_VALUE1""
    }

    environment_variable {
      name  = ""SOME_KEY2""
      value = ""SOME_VALUE2""
      type  = ""PARAMETER_STORE""
    }
  }

  source {
    type            = ""GITHUB""
    location        = ""https://github.com/mitchellh/packer.git""
    git_clone_depth = 1

    git_submodules_config {
      fetch_submodules = true
    }
  }

  source_version = ""master""
}","Has one ""aws_iam_role"" resource, one ""aws_s3_bucket"" resource, and one ""aws_codebuild_project"" resource with a ""cache"" block, at least one ""environment_variable"" within the ""environment"" block, and the ""type"" argument within the ""source"" block equal to ""GITHUB"""
"aws_codebuild_project, aws_iam_role","create a AWS codebuild project resource with example iam role, example environment variable, and no source","package terraform.validation

import future.keywords.in

default has_valid_resources = false

# Rule for aws_iam_role resource
has_valid_iam_role(resources) { 
        some resource in resources 
    resource.type == ""aws_iam_role"" 
    contains(resource.change.after.assume_role_policy,""codebuild.amazonaws.com"") 
} 

has_valid_codebuild {
        some i
    resource := input.planned_values.root_module.resources[i]
    resource.type == ""aws_codebuild_project""
        resource.values.artifacts
    resource.values.environment[_].environment_variable
    resource.values.name
    resource.values.source[_].type == ""NO_SOURCE""
    role := input.configuration.root_module.resources[i]
    role.expressions.service_role
}

has_valid_resources {
        has_valid_iam_role(input.resource_changes)
    has_valid_codebuild
}",4,"terraform {
  required_providers {
    aws = {
      source  = ""hashicorp/aws""
      version = ""~> 5.75""
    }
  }

  required_version = ""~> 1.9.8""
}

provider ""aws"" {
  region  = ""us-east-1""
  profile = ""admin-1""

  assume_role {
    role_arn = ""arn:aws:iam::590184057477:role/yicun-iac""
  }
}

data ""aws_iam_policy_document"" ""assume_role"" {
  statement {
    effect = ""Allow""

    principals {
      type        = ""Service""
      identifiers = [""codebuild.amazonaws.com""]
    }

    actions = [""sts:AssumeRole""]
  }
}

resource ""aws_iam_role"" ""example3"" {
  name               = ""example3""
  assume_role_policy = data.aws_iam_policy_document.assume_role.json
}

resource ""aws_codebuild_project"" ""example3"" {
  name          = ""DROW3_codebuild""
  service_role  = aws_iam_role.example3.arn

  artifacts {
    type = ""NO_ARTIFACTS""
  }

  environment {
    compute_type = ""BUILD_GENERAL1_SMALL""
    image        = ""aws/codebuild/standard:7.0-24.10.29""
    type         = ""LINUX_CONTAINER""

    environment_variable {
      name  = ""SOME_KEY1""
      value = ""SOME_VALUE1""
    }
  }

  source {
    type            = ""NO_SOURCE""
    buildspec       = file(""buildspec.yml"")
  }
}","Has one ""aws_iam_role"" resource and one ""aws_codebuild_project"" resource with at least one ""environment_variable"" within the ""environment"" block, and the ""type"" argument within the ""source"" block equal to ""NO_SOURCE"""
"aws_codebuild_project, aws_iam_role, aws_s3_bucket","create a AWS codebuild project resource with example iam role, an example GITHUB source, artifact, and a cache","package terraform.validation

import future.keywords.in

default has_valid_resources = false

# Rule for aws_iam_role resource
has_valid_iam_role(resources) { 
        some resource in resources 
    resource.type == ""aws_iam_role"" 
    contains(resource.change.after.assume_role_policy,""codebuild.amazonaws.com"") 
} 

has_valid_codebuild {
        some i
    resource := input.planned_values.root_module.resources[i]
    resource.type == ""aws_codebuild_project""
        resource.values.artifacts[_].type != ""NO_ARTIFACTS""
    resource.values.environment
    resource.values.name
    resource.values.cache
    resource.values.source[_].type == ""GITHUB""
    role := input.configuration.root_module.resources[i]
    role.expressions.service_role
}

has_valid_bucket {
    some i
    resource := input.planned_values.root_module.resources[i]
    resource.type == ""aws_s3_bucket""
    
}


has_valid_resources {
        has_valid_iam_role(input.resource_changes)
    has_valid_codebuild
}",5,"terraform {
  required_providers {
    aws = {
      source  = ""hashicorp/aws""
      version = ""~> 5.75""
    }
  }

  required_version = ""~> 1.9.8""
}

provider ""aws"" {
  region  = ""us-east-1""
  profile = ""admin-1""

  assume_role {
    role_arn = ""arn:aws:iam::590184057477:role/yicun-iac""
  }
}

resource ""aws_iam_role"" ""example4"" {
  name = ""example4""

  assume_role_policy = jsonencode({
    Version = ""2012-10-17""
    Statement = [
      {
        Action = ""sts:AssumeRole""
        Effect = ""Allow""
        Sid    = """"
        Principal = {
          Service = ""codebuild.amazonaws.com""
        }
      },
    ]
  })
}

resource ""aws_s3_bucket"" ""apriltwentyeight"" {
  bucket = ""apriltwentyeight""
}

resource ""aws_codebuild_project"" ""example4"" {
  name          = ""Row4CodeBuild""
  description   = ""Row4CodeBuild""
  build_timeout = 5
  service_role  = aws_iam_role.example4.arn

  artifacts {
    type      = ""S3""
    location  = aws_s3_bucket.apriltwentyeight.bucket
    name     = ""results.zip""
    path      = ""/""
    packaging = ""ZIP""
  }

  cache {
    type  = ""LOCAL""
    modes = [""LOCAL_DOCKER_LAYER_CACHE"", ""LOCAL_SOURCE_CACHE""]
  }

  environment {
    compute_type                = ""BUILD_GENERAL1_SMALL""
    image                       = ""aws/codebuild/standard:7.0-24.10.29""
    type                        = ""LINUX_CONTAINER""
    image_pull_credentials_type = ""CODEBUILD""

  }

  source {
    type            = ""GITHUB""
    location        = ""https://github.com/mitchellh/packer.git""
    git_clone_depth = 1
  }

  source_version = ""master""
}","Has one ""aws_iam_role"" resource, one ""aws_s3_bucket"" resource, and one ""aws_codebuild_project"" resource with a ""cache"" block, the ""type"" argument within the ""artifacts"" block not equal to ""NO_ARTIFACTS"", and the ""type"" argument within the ""source"" block equal to ""GITHUB"""
"aws_codebuild_project, aws_iam_role, aws_s3_bucket","create a AWS codebuild project resource with example iam role, example GITHUB source, and a logs config","package terraform.validation

import future.keywords.in

default has_valid_resources = false

# Rule for aws_iam_role resource
has_valid_iam_role(resources) { 
	some resource in resources 
    resource.type == ""aws_iam_role"" 
    contains(resource.change.after.assume_role_policy,""codebuild.amazonaws.com"") 
} 

has_valid_codebuild {
	some i
    resource := input.planned_values.root_module.resources[i]
    resource.type == ""aws_codebuild_project""
	resource.values.artifacts
    resource.values.environment
    resource.values.name
    resource.values.logs_config[_].cloudwatch_logs[_]
    resource.values.source[_].type == ""GITHUB""
    role := input.configuration.root_module.resources[i]
    role.expressions.service_role
}

has_valid_bucket {
    some i
    resource := input.planned_values.root_module.resources[i]
    resource.type == ""aws_s3_bucket""
    
}


has_valid_resources {
	has_valid_iam_role(input.resource_changes)
    has_valid_codebuild
}",5,"terraform {
  required_providers {
    aws = {
      source  = ""hashicorp/aws""
      version = ""~> 5.75""
    }
  }

  required_version = ""~> 1.9.8""
}

provider ""aws"" {
  region  = ""us-east-1""
  profile = ""admin-1""

  assume_role {
    role_arn = ""arn:aws:iam::590184057477:role/yicun-iac""
  }
}


resource ""aws_iam_role"" ""example5"" {
  name = ""example5""

  assume_role_policy = jsonencode({
    Version = ""2012-10-17""
    Statement = [
      {
        Action = ""sts:AssumeRole""
        Effect = ""Allow""
        Sid    = """"
        Principal = {
          Service = ""codebuild.amazonaws.com""
        }
      },
    ]
  })
}

resource ""aws_s3_bucket"" ""apriltwentynine"" {
  bucket = ""apriltwentynine""
}

resource ""aws_codebuild_project"" ""example5"" {
  name          = ""Row5CodeBuild""
  description   = ""Row5CodeBuild""
  build_timeout = 5
  service_role  = aws_iam_role.example5.arn

  artifacts {
    type = ""NO_ARTIFACTS""
  }

  environment {
    compute_type                = ""BUILD_GENERAL1_SMALL""
    image                       = ""aws/codebuild/standard:7.0-24.10.29""
    type                        = ""LINUX_CONTAINER""
    image_pull_credentials_type = ""CODEBUILD""
  }

  logs_config {
    cloudwatch_logs {
      group_name  = ""log-group""
      stream_name = ""log-stream""
    }

    s3_logs {
      status   = ""ENABLED""
      location = ""${aws_s3_bucket.apriltwentynine.id}/build-log""
    }
  }
  
  source {
    type            = ""GITHUB""
    location        = ""https://github.com/mitchellh/packer.git""
    git_clone_depth = 1
  }

  source_version = ""master""
}","Has one ""aws_iam_role"" resource, one ""aws_s3_bucket"" resource, and one ""aws_codebuild_project"" resource with the ""type"" argument within the ""source"" block equal to ""GITHUB"" and a ""logs_config"" block"
"aws_codebuild_project, aws_iam_role",create a AWS codebuild project resource with example iam role and secondary sources,"package terraform.validation

import future.keywords.in

default has_valid_resources = false

# Rule for aws_iam_role resource
has_valid_iam_role(resources) { 
        some resource in resources 
    resource.type == ""aws_iam_role"" 
    contains(resource.change.after.assume_role_policy,""codebuild.amazonaws.com"") 
} 

has_valid_codebuild {
        some i
    resource := input.planned_values.root_module.resources[i]
    resource.type == ""aws_codebuild_project""
        resource.values.artifacts
    resource.values.environment
    resource.values.name
    resource.values.source[_].type
    resource.values.secondary_sources[_].type
    role := input.configuration.root_module.resources[i]
    role.expressions.service_role
}

has_valid_bucket {
    some i
    resource := input.planned_values.root_module.resources[i]
    resource.type == ""aws_s3_bucket""
    
}


has_valid_resources {
        has_valid_iam_role(input.resource_changes)
    has_valid_codebuild
}",4,"terraform {
  required_providers {
    aws = {
      source  = ""hashicorp/aws""
      version = ""~> 5.75""
    }
  }

  required_version = ""~> 1.9.8""
}

provider ""aws"" {
  region  = ""us-east-1""
  profile = ""admin-1""

  assume_role {
    role_arn = ""arn:aws:iam::590184057477:role/yicun-iac""
  }
}

data ""aws_iam_policy_document"" ""assume_role"" {
  statement {
    effect = ""Allow""

    principals {
      type        = ""Service""
      identifiers = [""codebuild.amazonaws.com""]
    }

    actions = [""sts:AssumeRole""]
  }
}

resource ""aws_iam_role"" ""test_role7"" {
  name               = ""test_role7""
  assume_role_policy = data.aws_iam_policy_document.assume_role.json
}


resource ""aws_codebuild_project"" ""example7"" {
  name          = ""test-project7""
  service_role  = aws_iam_role.test_role7.arn

  artifacts {
    type = ""NO_ARTIFACTS""
  }

  environment {
    compute_type = ""BUILD_GENERAL1_SMALL""
    image        = ""aws/codebuild/standard:7.0-24.10.29""
    type         = ""LINUX_CONTAINER""
  }

  source {
    type            = ""GITHUB""
    location        = ""https://github.com/neilbalch/SimplePythonTutorial.git""
    git_clone_depth = 1
  }

  secondary_sources {
    source_identifier = ""SecondarySource""
    type            = ""GITHUB""
    location        = ""https://github.com/pH-7/Simple-Java-Calculator.git""
    git_clone_depth =  1
  }
}","Has one ""aws_iam_role"" resource and one ""aws_codebuild_project"" resource with a ""secondary_sources"" block"
"aws_codebuild_project, aws_iam_role, aws_s3_bucket, aws_s3_bucket",create a AWS codebuild project resource with example iam role and secondary artifiacts,"package terraform.validation

import future.keywords.in

default has_valid_resources = false

# Rule for aws_iam_role resource
has_valid_iam_role(resources) { 
        some resource in resources 
    resource.type == ""aws_iam_role"" 
    contains(resource.change.after.assume_role_policy,""codebuild.amazonaws.com"") 
} 

has_valid_codebuild {
        some i
    resource := input.planned_values.root_module.resources[i]
    resource.type == ""aws_codebuild_project""
        resource.values.artifacts
    resource.values.environment
    resource.values.name
    resource.values.source[_].type
    resource.values.secondary_artifacts[_].type
    role := input.configuration.root_module.resources[i]
    role.expressions.service_role
}

has_valid_bucket {
    some i
    resource := input.planned_values.root_module.resources[i]
    resource.type == ""aws_s3_bucket""
    
}


has_valid_resources {
        has_valid_iam_role(input.resource_changes)
    has_valid_codebuild
}",5,"terraform {
  required_providers {
    aws = {
      source  = ""hashicorp/aws""
      version = ""~> 5.75""
    }
  }

  required_version = ""~> 1.9.8""
}

provider ""aws"" {
  region  = ""us-east-1""
  profile = ""admin-1""

  assume_role {
    role_arn = ""arn:aws:iam::590184057477:role/yicun-iac""
  }
}

resource ""aws_iam_role"" ""test_role8"" {
  name = ""test_role8""

  assume_role_policy = jsonencode({
    Version = ""2012-10-17""
    Statement = [
      {
        Action = ""sts:AssumeRole""
        Effect = ""Allow""
        Sid    = """"
        Principal = {
          Service = ""codebuild.amazonaws.com""
        }
      },
    ]
  })
}

resource ""aws_s3_bucket"" ""apriltwentyninth"" {
  bucket = ""apriltwentyninth""
}

resource ""aws_s3_bucket"" ""apriltwentyninth2"" {
  bucket = ""apriltwentyninth2""
}


resource ""aws_codebuild_project"" ""example7"" {
  name          = ""test-project8""
  service_role  = aws_iam_role.test_role8.arn

  artifacts {
    location  = aws_s3_bucket.apriltwentyninth.bucket
    type      = ""S3""
    name     = ""results.zip""
    path      = ""/""
    packaging = ""ZIP""
  }

  secondary_artifacts {
    artifact_identifier =  ""SecondaryArtifact""
    type = ""S3""
    location  = aws_s3_bucket.apriltwentyninth2.bucket
  }

  environment {
    compute_type                = ""BUILD_GENERAL1_SMALL""
    image                       = ""aws/codebuild/standard:7.0-24.10.29""
    type                        = ""LINUX_CONTAINER""
    image_pull_credentials_type = ""CODEBUILD""

  }

  source {
    type            = ""GITHUB""
    location        = ""https://github.com/mitchellh/packer.git""
    git_clone_depth = 1
  }

  source_version = ""master""

  secondary_sources {
    source_identifier = ""source2""
    type            = ""GITHUB""
    location        = ""https://github.com/mitchellh/packer.git""
    git_clone_depth = 1
  }

  secondary_source_version {
    source_identifier = ""source2""
    source_version = ""master""
  }
}","Has one ""aws_iam_role"" resource, at least one ""aws_s3_bucket"" resource, and one ""aws_codebuild_project"" resource with a ""secondary_artifacts"" block"
"aws_codebuild_project, aws_iam_role, aws_s3_bucket",create a AWS codebuild project resource with example iam role and buildbatch configuration,"package terraform.validation

import future.keywords.in

default has_valid_resources = false

# Rule for aws_iam_role resource
has_valid_iam_role(resources) { 
	some resource in resources 
    resource.type == ""aws_iam_role"" 
    contains(resource.change.after.assume_role_policy,""codebuild.amazonaws.com"") 
} 

has_valid_codebuild {
	some i
    resource := input.planned_values.root_module.resources[i]
    resource.type == ""aws_codebuild_project""
	resource.values.artifacts
    resource.values.environment
    resource.values.name
    resource.values.source[_].type
    resource.values.build_batch_config[_]
    role := input.configuration.root_module.resources[i]
    role.expressions.service_role
    role.expressions.build_batch_config[_].service_role
}

has_valid_bucket {
    some i
    resource := input.planned_values.root_module.resources[i]
    resource.type == ""aws_s3_bucket""
    
}


has_valid_resources {
	has_valid_iam_role(input.resource_changes)
    has_valid_codebuild
}",5,"terraform {
  required_providers {
    aws = {
      source  = ""hashicorp/aws""
      version = ""~> 5.75""
    }
  }

  required_version = ""~> 1.9.8""
}

provider ""aws"" {
  region  = ""us-east-1""
  profile = ""admin-1""

  assume_role {
    role_arn = ""arn:aws:iam::590184057477:role/yicun-iac""
  }
}

resource ""aws_iam_role"" ""test_role9"" {
  name = ""test_role9""

  assume_role_policy = jsonencode({
    Version = ""2012-10-17""
    Statement = [
      {
        Action = ""sts:AssumeRole""
        Effect = ""Allow""
        Sid    = """"
        Principal = {
          Service = ""codebuild.amazonaws.com""
        }
      },
    ]
  })
}

resource ""aws_s3_bucket"" ""aprilthirthieth"" {
  bucket = ""aprilthirthieth""
}

resource ""aws_codebuild_project"" ""example9"" {
  name          = ""test-project9""
  service_role  = aws_iam_role.test_role9.arn

  artifacts {
    location  = aws_s3_bucket.aprilthirthieth.bucket
    name     = ""results.zip""
    type      = ""S3""
    path      = ""/""
    packaging = ""ZIP""
  }

  environment {
    compute_type                = ""BUILD_GENERAL1_SMALL""
    image                       = ""aws/codebuild/standard:7.0-24.10.29""
    type                        = ""LINUX_CONTAINER""
    image_pull_credentials_type = ""CODEBUILD""

  }

  source {
    type            = ""GITHUB""
    location        = ""https://github.com/mitchellh/packer.git""
    git_clone_depth = 1
  }

  source_version = ""master""

  build_batch_config {
    service_role = aws_iam_role.test_role9.arn
    restrictions {
      maximum_builds_allowed = 4
    }
  }

}","Has one ""aws_iam_role"" resource, one ""aws_s3_bucket"" resource, and one ""aws_codebuild_project"" resource with a ""build_batch_config"" block"
"aws_codebuild_project, aws_iam_role, aws_s3_bucket, aws_s3_bucket","create a AWS codebuild project resource with example iam role, environment variables, secondary sources, secondary artifacts","package terraform.validation

import future.keywords.in

default has_valid_resources = false

# Rule for aws_iam_role resource
has_valid_iam_role(resources) { 
	some resource in resources 
    resource.type == ""aws_iam_role"" 
    contains(resource.change.after.assume_role_policy,""codebuild.amazonaws.com"") 
} 

has_valid_codebuild {
	some i
    resource := input.planned_values.root_module.resources[i]
    resource.type == ""aws_codebuild_project""
	resource.values.artifacts
    resource.values.environment
    resource.values.environment[_].environment_variable
    resource.values.name
    resource.values.source[_].type
    resource.values.secondary_artifacts[_].type
    resource.values.secondary_sources[_].type
    role := input.configuration.root_module.resources[i]
    role.expressions.service_role
}

has_valid_bucket {
    some i
    resource := input.planned_values.root_module.resources[i]
    resource.type == ""aws_s3_bucket""
    
}


has_valid_resources {
	has_valid_iam_role(input.resource_changes)
    has_valid_codebuild
}",5,"terraform {
  required_providers {
    aws = {
      source  = ""hashicorp/aws""
      version = ""~> 5.75""
    }
  }

  required_version = ""~> 1.9.8""
}

provider ""aws"" {
  region  = ""us-east-1""
  profile = ""admin-1""

  assume_role {
    role_arn = ""arn:aws:iam::590184057477:role/yicun-iac""
  }
}

resource ""aws_iam_role"" ""test_role11"" {
  name = ""test_role11""

  assume_role_policy = jsonencode({
    Version = ""2012-10-17""
    Statement = [
      {
        Action = ""sts:AssumeRole""
        Effect = ""Allow""
        Sid    = """"
        Principal = {
          Service = ""codebuild.amazonaws.com""
        }
      },
    ]
  })
}

resource ""aws_s3_bucket"" ""aprilthirthyfirst"" {
  bucket = ""aprilthirthyfirst""
}

resource ""aws_s3_bucket"" ""aprilthirthyfirst2"" {
  bucket = ""aprilthirthyfirst2""
}

resource ""aws_codebuild_project"" ""example11"" {
  name          = ""test-project11""
  service_role  = aws_iam_role.test_role11.arn

  artifacts {
    location  = aws_s3_bucket.aprilthirthyfirst.bucket
    name     = ""results.zip""
    type      = ""S3""
    path      = ""/""
    packaging = ""ZIP""
  }

  secondary_artifacts {
    artifact_identifier =  ""SecondaryArtifact""
    location  = aws_s3_bucket.aprilthirthyfirst2.bucket
    name     = ""results.zip""
    type      = ""S3""
    path      = ""/""
    packaging = ""ZIP""
  }

  environment {
    compute_type                = ""BUILD_GENERAL1_SMALL""
    image                       = ""aws/codebuild/standard:7.0-24.10.29""
    type                        = ""LINUX_CONTAINER""
    image_pull_credentials_type = ""CODEBUILD""

    environment_variable {
      name  = ""SOME_KEY1""
      value = ""SOME_VALUE1""
    }

    environment_variable {
      name  = ""SOME_KEY2""
      value = ""SOME_VALUE2""
      type  = ""PARAMETER_STORE""
    }

  }

  source {
    type            = ""GITHUB""
    location        = ""https://github.com/mitchellh/packer.git""
    git_clone_depth = 1
  }

  source_version = ""master""

  secondary_sources {
    source_identifier = ""source2""
    type            = ""GITHUB""
    location        = ""https://github.com/mitchellh/packer.git""
    git_clone_depth = 1
  }

  secondary_source_version {
    source_identifier = ""source2""
    source_version = ""master""
  }
}","Has one ""aws_iam_role"" resource, at least one ""aws_s3_bucket"" resource, and one ""aws_codebuild_project"" resource with a ""secondary_artifacts"" block, with a ""secondary_sources"" block, and at least one ""environment_variable"" within the ""environment"" block"
